Title,Price,Unit Price,Source URL
(A)양배추(벌크),4980,"(1개당 4,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
깨끗한 양배추(통),4980,"(1개당 4,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
양파(1.5kg/망),3980,(100g당 265원),https://shopping.naver.com/market/emarteveryday/category?menu=20029667
백다다기오이(5입/봉),5980,"(1봉당 5,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
못난이 양파(3kg/망),6980,(100g당 233원),https://shopping.naver.com/market/emarteveryday/category?menu=20029667
"양배추(국산,1/4통)",1980,"(1개당 1,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
쌈용맛배추(팩),3980,"(1팩당 3,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
손질배추(특/봉),4480,(100g당 249원),https://shopping.naver.com/market/emarteveryday/category?menu=20029667
취청오이(2입/봉),4980,"(1봉당 4,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
GAP오이맛고추(팩),3480,"(1팩당 3,480원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
깐양파/봉,3480,(100g당 535원),https://shopping.naver.com/market/emarteveryday/category?menu=20029667
GAP백오이(3입/국산),4980,"(1봉당 4,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
자색양파(1kg/망),4980,(100g당 498원),https://shopping.naver.com/market/emarteveryday/category?menu=20029667
적양배추(1/2통),2480,"(1개당 2,480원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029667
국산손질오징어2미(팩),9900,"(100g당 2,750원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
동그랗게 절단한 오징어링 500g,8980,"(100g당 1,796원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
노르웨이고등어필렛,12980,"(100g당 1,298원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
영일만건오징어3미(원양산),10980,"(100g당 9,982원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 페스츄리BBQ오징어200g,11980,"(100g당 5,990원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균)꾸이오징어다리50g,3980,"(100g당 7,960원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
E오징어스테이크700g,10980,"(100g당 1,569원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
국산구운오징어다리100g,6980,"(100g당 6,980원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 백진미오징어채400g,13980,"(100g당 3,495원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 순한조미오징어300g,10900,"(100g당 3,633원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 페스츄리버터오징어200g,11900,"(100g당 5,950원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
몸통건오징어150g,10980,"(100g당 7,320원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 구운오징어입150g,7980,"(100g당 5,320원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
동해안손질오징어2미,12980,"(100g당 4,327원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 오징어실채250g,7980,"(100g당 3,192원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 바베큐조미오징어120g,7980,"(100g당 6,650원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
손질고등어300g,7900,"(100g당 2,633원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균) 땅콩버터맛오징어채50g,3980,"(100g당 7,960원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
손질오징어400g,10900,"(100g당 2,725원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 바른진미오징어채200g,9980,"(100g당 4,990원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
오징어젓갈150g,6980,(10g당 465원),https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 국내산건오징어3미(중/170g),18900,"(100g당 11,118원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 마른명태제사포70g,9980,"(100g당 14,257원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균) 참오징어소면 50g,3980,"(100g당 7,960원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균) 참맥반석구이오징어 40g,3980,"(100g당 9,950원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균) 바베큐조미오징어 50g,3980,"(100g당 7,960원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
(균) 참불고기오징어40g,3980,"(100g당 9,950원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 오징어튀김80g,7980,"(100g당 9,975원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
리얼 오징어깡 120g,5980,"(100g당 4,983원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
x 국내산건오징어1미(특대/85g),10980,"(100g당 12,918원)",https://shopping.naver.com/market/emarteveryday/category?menu=20029757
